observation_id,study_number,reference,independent_variable ,dependent_variable,additional independent variable,genus,organism(s),generation_time_metric ,generation_local_time ,generation_local_time_unit,generation_time_standardized_hours,generation_time_standardized_days,generation_local_time_source,generation_local_time_TEMP,generation_time_temp_conditions,dispersal,wave_type,variation_color,larger group,organization_level,duration,duration_unit,duration_standardized_days,flux_period,flux_period_unit,flux_period_days,flux_period_hours,manipulate_explicity ,natural_period ,notes
,11,seuffert_2010,temperature ,organism activity ,,Pomacea,Pomacea canaliculata,generation time,45-59,days ,1248,52,https://animaldiversity.org/accounts/Pomacea_canaliculata/,18-25 C,constant,none ,sinusoidal ,not considered,aquatic invert,population,1,days,1,,,1,24,y ,circadian and seasonal?,
,12,du_2003 ,temperature ,body mass,,Pelodiscus,Pelodiscus sinensis,generation time,6-Apr,years ,48180,2007.5,"https://www.thainationalparks.com/species/chinese-softshell-turtle#:~:text=Life%20cycle&text=Females%20may%20retain%20sperm%20for,about%2020%20mm%20in%20diameter.",,,none ,stochastic,not considered,amphibian,individual ,54-60 ,days,57,,,1,24,y ,stochastic ,
,12,du_2003 ,temperature ,carapace width,,Pelodiscus,Pelodiscus sinensis,generation time,6-Apr,years ,48180,2007.5,"https://www.thainationalparks.com/species/chinese-softshell-turtle#:~:text=Life%20cycle&text=Females%20may%20retain%20sperm%20for,about%2020%20mm%20in%20diameter.",,,none ,stochastic,not considered,amphibian,individual ,54-60 ,days,57,,,1,24,y ,stochastic ,
,12,du_2003 ,temperature ,sprint speed,,Pelodiscus,Pelodiscus sinensis,generation time,6-Apr,years ,48180,2007.5,"https://www.thainationalparks.com/species/chinese-softshell-turtle#:~:text=Life%20cycle&text=Females%20may%20retain%20sperm%20for,about%2020%20mm%20in%20diameter.",,,none ,stochastic,not considered,amphibian,individual ,54-60 ,days,57,,,1,24,y ,stochastic ,
,13,petavy_2001,temperature ,phenotypic variability,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,wing:thorax ratio,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,thorax length,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,sex dimorphism,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,wing length,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,phenotypic variability,,Drosophila,Drosophila simulans,,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,wing:thorax ratio,,Drosophila,Drosophila simulans,,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,thorax length,,Drosophila,Drosophila simulans,,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,sex dimorphism,,Drosophila,Drosophila simulans,,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,13,petavy_2001,temperature ,wing length,,Drosophila,Drosophila simulans,,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,sinusoidal ,not considered,insect ,individual ,2,days,2,,,0.5,12,y ,circadian,"not really specified what the color or variability pattern was, generation time for d.melanogaster used in lieu of d.simulans"
,14,hilbeck_1998,temperature ,survival,Solanum carolinense,Leptinotarsa ,Leptinotarsa decemlineata,generation time,16-Dec,days ,336,14,https://www.cabi.org/isc/datasheet/30380,29 C,,none ,sinusoidal ,not considered,insect ,host-parasite,,,233.5,,,1,24,y ,periodic,not really specified what the color or variability pattern was--potential to be square or sinusoidal
,14,hilbeck_1998,temperature ,development rate ,Solanum carolinense,Leptinotarsa ,Leptinotarsa decemlineata,generation time,16-Dec,days ,336,14,https://www.cabi.org/isc/datasheet/30380,29 C,,none ,sinusoidal ,not considered,insect ,host-parasite,,,233.5,,,1,24,y ,periodic,not really specified what the color or variability pattern was 
,14,hilbeck_1998,temperature ,survival,Solanum tuberosum,Leptinotarsa ,Leptinotarsa decemlineata,generation time,16-Dec,days ,336,14,https://www.cabi.org/isc/datasheet/30380,29 C,,none ,sinusoidal ,not considered,insect ,host-parasite,,,233.5,,,1,24,y ,periodic,not really specified what the color or variability pattern was 
,14,hilbeck_1998,temperature ,development rate ,Solanum tuberosum,Leptinotarsa ,Leptinotarsa decemlineata,generation time,16-Dec,days ,336,14,https://www.cabi.org/isc/datasheet/30380,29 C,,none ,sinusoidal ,not considered,insect ,host-parasite,,,233.5,,,1,24,y ,periodic,not really specified what the color or variability pattern was 
,15,shrode_1977,temperature ,egg production,,Cyprinodon,Cyprinodon n. nevadensis,generation time,6-Apr,weeks,840,35,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=104375&inline,22 C ,,none ,sinusoidal ,not considered,fish ,individual,21,days ,21,,,1,24,y ,periodic ,not really sinusoidal but it is cyclic?
,15,shrode_1977,temperature ,reproductive tolerance range,,Cyprinodon,Cyprinodon n. nevadensis,generation time,6-Apr,weeks,840,35,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=104375&inline,22 C ,,none ,sinusoidal ,not considered,fish ,individual,21,days ,21,,,1,24,y ,periodic ,not really sinusoidal but it is cyclic?
,15,shrode_1977,temperature ,egg quality ,,Cyprinodon,Cyprinodon n. nevadensis,generation time,6-Apr,weeks,840,35,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=104375&inline,22 C ,,none ,sinusoidal ,not considered,fish ,individual,21,days ,21,,,1,24,y ,periodic ,not really sinusoidal but it is cyclic?
,16,resilva_2014,temperature ,changes in eye color,,Anastrepha,Anastrepha fraterculus,generation time,39,days ,936,39,https://www.researchgate.net/publication/303254715_Biology_and_fertility_life_table_of_Aganaspis_pelleranoi_Hymenoptera_Figitidae_in_larvae_of_Anastrepha_fraterculus_and_Ceratitis_capitata_Diptera_Tephritidae/figures?lo=1,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments , filled in B.oleae and B. philippinensis with g time for B.dorsalis"
,16,resilva_2014,temperature ,changes in eye color,,Anastrepha,Anastrepha ludens,generation time,46.9,days ,1125.6,46.9,http://scholar.google.com/scholar_url?url=https://journals.flvc.org/flaent/article/download/58361/56040&hl=en&sa=X&scisig=AAGBfm05qklz1L5c91iWbL1qQ1yCy2ScCA&nossl=1&oi=scholarr,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Anastrepha,Anastrepha obliqua,development time?,48.5,days ,1164,48.5,http://scholar.google.com/scholar_url?url=https://journals.flvc.org/flaent/article/download/58361/56040&hl=en&sa=X&scisig=AAGBfm05qklz1L5c91iWbL1qQ1yCy2ScCA&nossl=1&oi=scholarr,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Anastrepha,Anastrepha serpentina,generation time ,46.2,days ,1108.8,46.2,http://scholar.google.com/scholar_url?url=https://journals.flvc.org/flaent/article/download/58361/56040&hl=en&sa=X&scisig=AAGBfm05qklz1L5c91iWbL1qQ1yCy2ScCA&nossl=1&oi=scholarr,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Bactrocera,Bactrocera cucurbitae,generation time ,39.5-42.6,days ,985.2,41.05,https://core.ac.uk/download/pdf/192417171.pdf,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Bactrocera,Bactrocera dorsalis ,generation time ,43.3,days ,1039.2,43.3,https://academic.oup.com/ee/article-abstract/23/4/971/411956,34 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Bactrocera,Bactrocera invadens,generation time ,30.7,days ,736.8,30.7,http://www.nda.agric.za/doaDev/sideMenu/plantHealth/docs/SABIFFactionPlan.pdf,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Bactrocera,Bactrocera oleae,,43.3,days ,1039.2,43.3,https://academic.oup.com/ee/article-abstract/23/4/971/411956,34 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Bactrocera,Bactrocera philippinensis,,43.3,days ,1039.2,43.3,https://academic.oup.com/ee/article-abstract/23/4/971/411956,34 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Bactrocera,Bactrocera tryoni,generation time ,3,weeks,504,21,http://entnemdept.ufl.edu/creatures/fruit/tropical/queensland_fruit_fly.htm,summer,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Bactrocera,Bactrocera zonata,generation time ,61.9,days ,1485.6,61.9,https://link.springer.com/article/10.1007/s12600-019-00777-4?shared-article-renderer,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,changes in eye color,,Ceratitis,Ceratitis capitata,generation time ,40.78,days ,978.72,40.78,https://www.researchgate.net/publication/303254715_Biology_and_fertility_life_table_of_Aganaspis_pelleranoi_Hymenoptera_Figitidae_in_larvae_of_Anastrepha_fraterculus_and_Ceratitis_capitata_Diptera_Tephritidae/figures?lo=1,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Anastrepha,Anastrepha fraterculus,generation time,39,days ,936,39,https://www.researchgate.net/publication/303254715_Biology_and_fertility_life_table_of_Aganaspis_pelleranoi_Hymenoptera_Figitidae_in_larvae_of_Anastrepha_fraterculus_and_Ceratitis_capitata_Diptera_Tephritidae/figures?lo=1,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Anastrepha,Anastrepha ludens,generation time ,46.9,days ,1125.6,46.9,http://scholar.google.com/scholar_url?url=https://journals.flvc.org/flaent/article/download/58361/56040&hl=en&sa=X&scisig=AAGBfm05qklz1L5c91iWbL1qQ1yCy2ScCA&nossl=1&oi=scholarr,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Anastrepha,Anastrepha obliqua,generation time ,48.5,days ,1164,48.5,http://scholar.google.com/scholar_url?url=https://journals.flvc.org/flaent/article/download/58361/56040&hl=en&sa=X&scisig=AAGBfm05qklz1L5c91iWbL1qQ1yCy2ScCA&nossl=1&oi=scholarr,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Anastrepha,Anastrepha serpentina,generation time ,46.2,days ,1108.8,46.2,http://scholar.google.com/scholar_url?url=https://journals.flvc.org/flaent/article/download/58361/56040&hl=en&sa=X&scisig=AAGBfm05qklz1L5c91iWbL1qQ1yCy2ScCA&nossl=1&oi=scholarr,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Bactrocera,Bactrocera cucurbitae,generation time ,39.5-42.6,days ,985.2,41.05,https://core.ac.uk/download/pdf/192417171.pdf,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Bactrocera,Bactrocera dorsalis ,generation time ,43.3,days ,1039.2,43.3,https://academic.oup.com/ee/article-abstract/23/4/971/411956,34 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Bactrocera,Bactrocera invadens,generation time ,30.7,days ,736.8,30.7,http://www.nda.agric.za/doaDev/sideMenu/plantHealth/docs/SABIFFactionPlan.pdf,28 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Bactrocera,Bactrocera oleae,,43.3,days ,1039.2,43.3,https://academic.oup.com/ee/article-abstract/23/4/971/411956,34 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Bactrocera,Bactrocera philippinensis,,43.3,days ,1039.2,43.3,https://academic.oup.com/ee/article-abstract/23/4/971/411956,34 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Bactrocera,Bactrocera tryoni,generation time ,3,weeks,504,21,http://entnemdept.ufl.edu/creatures/fruit/tropical/queensland_fruit_fly.htm,summer,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Bactrocera,Bactrocera zonata,generation time ,61.9,days ,1485.6,61.9,https://link.springer.com/article/10.1007/s12600-019-00777-4?shared-article-renderer,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,16,resilva_2014,temperature ,pupal development time,,Ceratitis,"Ceratitis capitata",generation time ,40.78,days ,978.72,40.78,https://www.researchgate.net/publication/303254715_Biology_and_fertility_life_table_of_Aganaspis_pelleranoi_Hymenoptera_Figitidae_in_larvae_of_Anastrepha_fraterculus_and_Ceratitis_capitata_Diptera_Tephritidae/figures?lo=1,25 C,,none ,,not considered,insect ,individual,21-Oct,days,15.5,,,,,n ,n/a,"flux treatment isn't really talked about in their methods, more of a natural control for the constant experiment treatments "
,17,peng_2014 ,temperature ,thermal tolerance,,Parabramis,Parabramis pekinensis,generation time ,11.4,years,99864,4161,"http://fishbase.mnhn.fr/summary/Speciessummary.php?id=282#:~:text=Trophic%20Level%20(Ref.,based%20on%202%20growth%20studies.",,,none ,sinusoidal ,not considered,fish ,individual,30,days,30,,,1,24,y ,circadian  (diel cycle),not any info on generation time or life cycle that i could find
,17,peng_2014 ,temperature ,swimming capacity,,Parabramis,Parabramis pekinensis,generation time ,11.4,years,99864,4161,"http://fishbase.mnhn.fr/summary/Speciessummary.php?id=282#:~:text=Trophic%20Level%20(Ref.,based%20on%202%20growth%20studies.",,,none ,sinusoidal ,not considered,fish ,individual,30,days,30,,,1,24,y ,circadian  (diel cycle),not any info on generation time or life cycle that i could find
,17,peng_2014 ,temperature ,specific dynamic action,,Parabramis,Parabramis pekinensis,generation time ,11.4,years,99864,4161,"http://fishbase.mnhn.fr/summary/Speciessummary.php?id=282#:~:text=Trophic%20Level%20(Ref.,based%20on%202%20growth%20studies.",,,none ,sinusoidal ,not considered,fish ,individual,30,days,30,,,1,24,y ,circadian  (diel cycle),not any info on generation time or life cycle that i could find
,17,peng_2014 ,temperature ,growth performance,,Parabramis,Parabramis pekinensis,generation time ,11.4,years,99864,4161,"http://fishbase.mnhn.fr/summary/Speciessummary.php?id=282#:~:text=Trophic%20Level%20(Ref.,based%20on%202%20growth%20studies.",,,none ,sinusoidal ,not considered,fish ,individual,30,days,30,,,1,24,y ,circadian  (diel cycle),not any info on generation time or life cycle that i could find
,18,zhao_2014,temperature,longevity,,Sitobion,Sitobion avenae,generation time ,11.86,days ,284.64,11.86,https://www.researchgate.net/publication/230835810_Life_Table_Evaluation_of_Survival_and_Reproduction_of_the_Aphid_Sitobion_avenae_Exposed_to_Cadmium,18-20 C,,none ,sinusoidal ,not considered,insect ,individual,,,,,,1,24,y ,circadian (diurnal cycles),
,18,zhao_2014,temperature,fecundity,,Sitobion,Sitobion avenae,generation time ,11.86,days ,284.64,11.86,https://www.researchgate.net/publication/230835810_Life_Table_Evaluation_of_Survival_and_Reproduction_of_the_Aphid_Sitobion_avenae_Exposed_to_Cadmium,18-20 C,,none ,sinusoidal ,not considered,insect ,individual,,,,,,1,24,y ,circadian (diurnal cycles),
,18,zhao_2014,time of day ,development time ,,Sitobion,Sitobion avenae,generation time ,11.86,days ,284.64,11.86,https://www.researchgate.net/publication/230835810_Life_Table_Evaluation_of_Survival_and_Reproduction_of_the_Aphid_Sitobion_avenae_Exposed_to_Cadmium,18-20 C,,none ,sinusoidal ,not considered,insect ,individual,,,,,,1,24,y ,circadian (diurnal cycles),
,18,zhao_2014,time of day ,longevity,,Sitobion,Sitobion avenae,generation time ,11.86,days ,284.64,11.86,https://www.researchgate.net/publication/230835810_Life_Table_Evaluation_of_Survival_and_Reproduction_of_the_Aphid_Sitobion_avenae_Exposed_to_Cadmium,18-20 C,,none ,sinusoidal ,not considered,insect ,individual,,,,,,1,24,y ,circadian (diurnal cycles),
,18,zhao_2014,time of day ,fecundity,,Sitobion,Sitobion avenae,generation time ,11.86,days ,284.64,11.86,https://www.researchgate.net/publication/230835810_Life_Table_Evaluation_of_Survival_and_Reproduction_of_the_Aphid_Sitobion_avenae_Exposed_to_Cadmium,18-20 C,,none ,sinusoidal ,not considered,insect ,individual,,,,,,1,24,y ,circadian (diurnal cycles),
,18,zhao_2014,time of day ,development time ,,Sitobion,Sitobion avenae,generation time ,11.86,days ,284.64,11.86,https://www.researchgate.net/publication/230835810_Life_Table_Evaluation_of_Survival_and_Reproduction_of_the_Aphid_Sitobion_avenae_Exposed_to_Cadmium,18-20 C,,none ,sinusoidal ,not considered,insect ,individual,,,,,,1,24,y ,circadian (diurnal cycles),
,19,foray_2014,temperature ,size,,Venturia,Venturia canescens,generation time ,27.25,days ,654,27.25,https://pubmed.ncbi.nlm.nih.gov/16573345/,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,developmental rate,,Venturia,Venturia canescens,generation time ,27.25,days ,654,27.25,https://pubmed.ncbi.nlm.nih.gov/16573345/,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,egg load,,Venturia,Venturia canescens,generation time ,27.25,days ,654,27.25,https://pubmed.ncbi.nlm.nih.gov/16573345/,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,longevity,,Venturia,Venturia canescens,generation time ,27.25,days ,654,27.25,https://pubmed.ncbi.nlm.nih.gov/16573345/,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,energetic resource reaction norms,,Venturia,Venturia canescens,generation time ,27.25,days ,654,27.25,https://pubmed.ncbi.nlm.nih.gov/16573345/,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,phenotypic responses ,,Venturia,Venturia canescens,generation time ,27.25,days ,654,27.25,https://pubmed.ncbi.nlm.nih.gov/16573345/,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,size,,Ephestia,Ephestia kuehniella,generation time ,71.605,days ,1718.52,71.605,https://www.researchgate.net/publication/267522440_Biology_and_Demography_of_Ephestia_kuehniella_Pyralidae_Lepidoptera,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,developmental rate,,Ephestia,Ephestia kuehniella,generation time ,71.605,days ,1718.52,71.605,https://www.researchgate.net/publication/267522440_Biology_and_Demography_of_Ephestia_kuehniella_Pyralidae_Lepidoptera,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,egg load,,Ephestia,Ephestia kuehniella,generation time ,71.605,days ,1718.52,71.605,https://www.researchgate.net/publication/267522440_Biology_and_Demography_of_Ephestia_kuehniella_Pyralidae_Lepidoptera,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,longevity,,Ephestia,Ephestia kuehniella,generation time ,71.605,days ,1718.52,71.605,https://www.researchgate.net/publication/267522440_Biology_and_Demography_of_Ephestia_kuehniella_Pyralidae_Lepidoptera,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,energetic resource reaction norms,,Ephestia,Ephestia kuehniella,generation time ,71.605,days ,1718.52,71.605,https://www.researchgate.net/publication/267522440_Biology_and_Demography_of_Ephestia_kuehniella_Pyralidae_Lepidoptera,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,19,foray_2014,temperature ,phenotypic responses ,,Ephestia,Ephestia kuehniella,generation time ,71.605,days ,1718.52,71.605,https://www.researchgate.net/publication/267522440_Biology_and_Demography_of_Ephestia_kuehniella_Pyralidae_Lepidoptera,25 C,,none ,square,not considered,insect ,individual,,,3,3,hours ,0.125,3,y,"nycthemeral cycle, jensen's inequality?","not sure how to classify the period, since each step would be considered a period (ie 3 hours), but it could also be considered 24 hours?"
,20,klepsatel_2013,temperature ,thermal reaction norms for thorax length,geographic origin location,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,not considered,insect ,individual,"10, 12",days,11,24,hours ,1,24,y ,"mathematical equation, diurnal cycle?","unclear about periodicity of this experiment and supp info didn't help clear that, also unclear about differences in generation time referenced in two different papers (petavy 2001)"
,20,klepsatel_2013,temperature ,wing area,geographic origin location,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,not considered,insect ,individual,"10, 12",days,11,24,hours ,1,24,y ,"mathematical equation, diurnal cycle?","unclear about periodicity of this experiment and supp info didn't help clear that, also unclear about differences in generation time referenced in two different papers (petavy 2001)"
,20,klepsatel_2013,temperature ,ovariole number ,geographic origin location,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,not considered,insect ,individual,"10, 12",days,11,24,hours ,1,24,y ,"mathematical equation, diurnal cycle?","unclear about periodicity of this experiment and supp info didn't help clear that, also unclear about differences in generation time referenced in two different papers (petavy 2001)"
,21,duncan_2011,temperature,population density  ,,Paramecium,Paramecium caudatum,generation time,8,hours,8,0.333333333,referenced in paper,24-28 C,,none ,square,white ,plankton,population,30,days,30,24,hours ,1,24,y,"mathematical, random?",
,21,duncan_2011,temperature,density fluctuation,,Paramecium,Paramecium caudatum,generation time ,8,hours,8,0.333333333,referenced in paper,24-28 C,,none ,square,white ,plankton,population,30,days,30,24,hours ,1,24,y,"mathematical, random?",
,21,duncan_2011,temperature,prevalence,,Holospora,Holospora undulata,generation time ,24,hours,24,1,referenced in paper,,,none ,square,white ,plankton,host-parasite,30,days ,30,24,hours ,1,24,y,"mathematical, random?",
